numero_pedido;quantidade_pedida; preco_unitario ;numero_linha_pedido;valor_venda;data_pedido;status_pedido;trimestre;mes;ano;linha_produto;preco_sugerido;codigo_produto;nome_cliente;telefone;endereco_1;endereco_2;cidade;estado;cep;pais;territorio;sobrenome_contato;nome_contato;porte_negocio
10223;37,00; R$ 1.000,00 ;1;R$ 396.566,00;20/02/2004;Enviado;1;2;2004;Motocicletas;95;S10_1678;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Austrália;APAC;Ferguson;Peter;Médio
10237;23,00; R$ 1.000,00 ;7;R$ 233.312,00;05/04/2004;Enviado;2;4;2004;Motocicletas;95;S10_1678;Vitachrome Inc.;2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;10022;EUA;;Frick;Michael;Pequeno
10251;28,00; R$ 1.000,00 ;2;R$ 318.864,00;18/05/2004;Enviado;2;5;2004;Motocicletas;95;S10_1678;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;;Newark;NJ;94019;EUA;;Brown;William;Médio
10263;34,00; R$ 1.000,00 ;2;R$ 367.676,00;28/06/2004;Enviado;2;6;2004;Motocicletas;95;S10_1678;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;EUA;;King;Julie;Médio
10275;45,00; R$ 9.283,00 ;1;R$ 417.735,00;23/07/2004;Enviado;3;7;2004;Motocicletas;95;S10_1678;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;França;EMEA;Labrune;Janine;Médio
10285;36,00; R$ 1.000,00 ;6;R$ 409.968,00;27/08/2004;Enviado;3;8;2004;Motocicletas;95;S10_1678;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;EUA;;Hernandez;Marta;Médio
10299;23,00; R$ 1.000,00 ;9;R$ 259.739,00;30/09/2004;Enviado;3;9;2004;Motocicletas;95;S10_1678;Toys of Finland, Co.;90-224 8555;Keskuskatu 45;;Helsinki;;21240;Finland;EMEA;Karttunen;Matti;Pequeno
10309;41,00; R$ 1.000,00 ;5;R$ 439.438,00;15/10/2004;Enviado;4;10;2004;Motocicletas;95;S10_1678;Baane Mini Imports;07-98 9555;Erling Skakkes gate 78;;Stavern;;4110;Norway;EMEA;Bergulfsen;Jonas;Médio
10318;46,00; R$ 9.474,00 ;1;R$ 435.804,00;02/11/2004;Enviado;4;11;2004;Motocicletas;95;S10_1678;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;EUA;;Yu;Kyung;Médio
10329;42,00; R$ 1.000,00 ;1;R$ 439.614,00;15/11/2004;Enviado;4;11;2004;Motocicletas;95;S10_1678;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;EUA;;Yu;Kwai;Médio
10341;41,00; R$ 1.000,00 ;9;R$ 773.793,00;24/11/2004;Enviado;4;11;2004;Motocicletas;95;S10_1678;Salzburg Collectables;6562-9555;Geislweg 14;;Salzburg;;5020;Austria;EMEA;Pipps;Georg;Grande
10361;20,00; R$ 7.255,00 ;13;R$ 14.510,00;17/12/2004;Enviado;4;12;2004;Motocicletas;95;S10_1678;Souveniers And Things Co.;+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;2067;Austrália;APAC;Huxley;Adrian;Pequeno
10375;21,00; R$ 3.491,00 ;12;R$ 73.311,00;03/02/2005;Enviado;1;2;2005;Motocicletas;95;S10_1678;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;França;EMEA;Labrune;Janine;Pequeno
10388;42,00; R$ 7.636,00 ;4;R$ 320.712,00;03/03/2005;Enviado;1;3;2005;Motocicletas;95;S10_1678;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;EUA;;Benitez;Violeta;Médio
10403;24,00; R$ 1.000,00 ;7;R$ 243.456,00;08/04/2005;Enviado;2;4;2005;Motocicletas;95;S10_1678;UK Collectables, Ltd.;(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;WX1 6LT;Reino Unido;EMEA;Devon;Elizabeth;Pequeno
10417;66,00; R$ 1.000,00 ;2;R$ 751.608,00;13/05/2005;Disputed;2;5;2005;Motocicletas;95;S10_1678;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Grande
10103;26,00; R$ 1.000,00 ;11;R$ 540.462,00;29/01/2003;Enviado;1;1;2003;Carros Clássicos;214;S10_1949;Baane Mini Imports;07-98 9555;Erling Skakkes gate 78;;Stavern;;4110;Norway;EMEA;Bergulfsen;Jonas;Médio
10112;29,00; R$ 1.000,00 ;1;R$ 720.911,00;24/03/2003;Enviado;1;3;2003;Carros Clássicos;214;S10_1949;Volvo Model Replicas, Co;0921-12 3555;Berguvsv�gen  8;;Lule;;S-958 22;Sweden;EMEA;Berglund;Christina;Grande
10126;38,00; R$ 1.000,00 ;11;R$ 732.906,00;28/05/2003;Enviado;2;5;2003;Carros Clássicos;214;S10_1949;Corrida Auto Replicas, Ltd;(91) 555 22 82;C/ Araquil, 67;;Madrid;;28023;Spain;EMEA;Sommer;Mart�n;Grande
10140;37,00; R$ 1.000,00 ;11;R$ 73.741,00;24/07/2003;Enviado;3;7;2003;Carros Clássicos;214;S10_1949;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;EUA;;Hirano;Juri;Grande
10150;45,00; R$ 1.000,00 ;8;R$ 109.935,00;19/09/2003;Enviado;3;9;2003;Carros Clássicos;214;S10_1949;Dragon Souveniers, Ltd.;+65 221 7555;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;;Singapore;;79903;Singapore;Japan;Natividad;Eric;Grande
10163;21,00; R$ 1.000,00 ;1;R$ 486.024,00;20/10/2003;Enviado;4;10;2003;Carros Clássicos;214;S10_1949;Classic Legends Inc.;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;EUA;;Hernandez;Maria;Médio
10174;34,00; R$ 1.000,00 ;4;R$ 801.482,00;06/11/2003;Enviado;4;11;2003;Carros Clássicos;214;S10_1949;Australian Gift Network, Co;61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;4101;Austrália;APAC;Calaghan;Tony;Grande
10183;23,00; R$ 1.000,00 ;8;R$ 537.257,00;13/11/2003;Enviado;4;11;2003;Carros Clássicos;214;S10_1949;Classic Gift Ideas, Inc;2155554695;782 First Street;;Philadelphia;PA;71270;EUA;;Cervantes;Francisca;Médio
10194;42,00; R$ 1.000,00 ;11;R$ 729.036,00;25/11/2003;Enviado;4;11;2003;Carros Clássicos;214;S10_1949;Saveley & Henriot, Co.;78.32.5555;2, rue du Commerce;;Lyon;;69004;França;EMEA;Saveley;Mary;Grande
10206;47,00; R$ 1.000,00 ;6;R$ 906.489,00;05/12/2003;Enviado;4;12;2003;Carros Clássicos;214;S10_1949;Canadian Gift Exchange Network;(604) 555-3392;1900 Oak St.;;Vancouver;BC;V3F 2K1;Canadá;;Tannamuri;Yoshi;Grande
10215;35,00; R$ 1.000,00 ;3;R$ 60.753,00;29/01/2004;Enviado;1;1;2004;Carros Clássicos;214;S10_1949;West Coast Collectables Co.;3105553722;3675 Furth Circle;;Burbank;CA;94019;EUA;;Thompson;Steve;Médio
10228;29,00; R$ 1.000,00 ;2;R$ 646.323,00;10/03/2004;Enviado;1;3;2004;Carros Clássicos;214;S10_1949;Cambridge Collectables Co.;6175555555;4658 Baden Av.;;Cambridge;MA;51247;EUA;;Tseng;Kyung;Médio
10245;34,00; R$ 1.000,00 ;9;R$ 612.034,00;04/05/2004;Enviado;2;5;2004;Carros Clássicos;214;S10_1949;Super Scale Inc.;2035559545;567 North Pendale Street;;New Haven;CT;97823;EUA;;Murphy;Leslie;Médio
10258;32,00; R$ 1.000,00 ;6;R$ 768.064,00;15/06/2004;Enviado;2;6;2004;Carros Clássicos;214;S10_1949;Tokyo Collectables, Ltd;+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;106-0032;Japan;Japan;Shimamura;Akiko;Grande
10270;21,00; R$ 1.000,00 ;9;R$ 490.539,00;19/07/2004;Enviado;3;7;2004;Carros Clássicos;214;S10_1949;Souveniers And Things Co.;+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;2067;Austrália;APAC;Huxley;Adrian;Médio
10280;34,00; R$ 1.000,00 ;2;R$ 801.482,00;17/08/2004;Enviado;3;8;2004;Carros Clássicos;214;S10_1949;Amica Models & Co.;011-4988555;Via Monte Bianco 34;;Torino;;10100;Italy;EMEA;Accorti;Paolo;Grande
10291;37,00; R$ 1.000,00 ;11;R$ 713.619,00;08/09/2004;Enviado;3;9;2004;Carros Clássicos;214;S10_1949;Scandinavian Gift Ideas;0695-34 6555;?kergatan 24;;Boras;;S-844 67;Sweden;EMEA;Larsson;Maria;Grande
10304;47,00; R$ 1.000,00 ;6;R$ 101.727,00;11/10/2004;Enviado;4;10;2004;Carros Clássicos;214;S10_1949;Auto Assoc. & Cie.;30.59.8555;67, avenue de l'Europe;;Versailles;;78000;França;EMEA;Tonini;Daniel;Grande
10312;48,00; R$ 1.000,00 ;3;R$ 116.237,00;21/10/2004;Enviado;4;10;2004;Carros Clássicos;214;S10_1949;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;EUA;;Nelson;Valarie;Grande
10322;40,00; R$ 1.000,00 ;1;R$ 60.004,00;04/11/2004;Enviado;4;11;2004;Carros Clássicos;214;S10_1949;Online Diecast Creations Co.;6035558647;2304 Long Airport Avenue;;Nashua;NH;62005;EUA;;Young;Valarie;Médio
10333;26,00; R$ 1.000,00 ;3;R$ 30.030,00;18/11/2004;Enviado;4;11;2004;Carros Clássicos;214;S10_1949;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;EUA;;Murphy;Julie;Médio
10347;30,00; R$ 1.000,00 ;1;R$ 39.447,00;29/11/2004;Enviado;4;11;2004;Carros Clássicos;214;S10_1949;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Austrália;APAC;Ferguson;Peter;Médio
10357;32,00; R$ 1.000,00 ;10;R$ 569.184,00;10/12/2004;Enviado;4;12;2004;Carros Clássicos;214;S10_1949;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;EUA;;Nelson;Valarie;Médio
10369;41,00; R$ 1.000,00 ;2;R$ 451.492,00;20/01/2005;Enviado;1;1;2005;Carros Clássicos;214;S10_1949;Collectables For Less Inc.;6175558555;7825 Douglas Av.;;Brickhaven;MA;58339;EUA;;Nelson;Allen;Médio
10381;36,00; R$ 1.000,00 ;3;R$ 82.548,00;17/02/2005;Enviado;1;2;2005;Carros Clássicos;214;S10_1949;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;EUA;;Brown;Julie;Grande
10391;24,00; R$ 1.000,00 ;4;R$ 241.656,00;09/03/2005;Enviado;1;3;2005;Carros Clássicos;214;S10_1949;Anna's Decorations, Ltd;02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;2060;Austrália;APAC;O'Hara;Anna;Pequeno
10411;23,00; R$ 1.000,00 ;9;R$ 414.023,00;01/05/2005;Enviado;2;5;2005;Carros Clássicos;214;S10_1949;Quebec Home Shopping Network;(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;H1J 1C3;Canadá;;Fresnisre;Jean;Médio
10424;50,00; R$ 1.000,00 ;6;R$ 120.010,00;31/05/2005;In Process;2;5;2005;Carros Clássicos;214;S10_1949;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Grande
10107;39,00; R$ 9.991,00 ;5;R$ 389.649,00;24/02/2003;Enviado;1;2;2003;Motocicletas;118;S10_2016;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;EUA;;Yu;Kwai;Médio
10120;29,00; R$ 9.634,00 ;3;R$ 279.386,00;29/04/2003;Enviado;2;4;2003;Motocicletas;118;S10_2016;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Austrália;APAC;Ferguson;Peter;Pequeno
10134;27,00; R$ 1.000,00 ;5;R$ 330.777,00;01/07/2003;Enviado;3;7;2003;Motocicletas;118;S10_2016;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;França;EMEA;Da Cunha;Daniel;Médio
10145;37,00; R$ 1.000,00 ;9;R$ 519.295,00;25/08/2003;Enviado;3;8;2003;Motocicletas;118;S10_2016;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;EUA;;Young;Julie;Médio
10159;37,00; R$ 1.000,00 ;17;R$ 501.683,00;10/10/2003;Enviado;4;10;2003;Motocicletas;118;S10_2016;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;EUA;;Brown;Julie;Médio
10168;27,00; R$ 1.000,00 ;4;R$ 366.093,00;28/10/2003;Enviado;4;10;2003;Motocicletas;118;S10_2016;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;EUA;;Hirano;Juri;Médio
10180;42,00; R$ 1.000,00 ;12;R$ 46.956,00;11/11/2003;Enviado;4;11;2003;Motocicletas;118;S10_2016;Daedalus Designs Imports;20.16.1555;184, chausse de Tournai;;Lille;;59000;França;EMEA;Rance;Martine;Médio
10188;38,00; R$ 9.634,00 ;4;R$ 366.092,00;18/11/2003;Enviado;4;11;2003;Motocicletas;118;S10_2016;Herkku Gifts;+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;N 5804;Norway;EMEA;Oeztan;Veysel;Médio
10201;24,00; R$ 1.000,00 ;5;R$ 302.592,00;01/12/2003;Enviado;4;12;2003;Motocicletas;118;S10_2016;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;EUA;;Murphy;Julie;Médio
10210;23,00; R$ 1.000,00 ;2;R$ 300.909,00;12/01/2004;Enviado;1;1;2004;Motocicletas;118;S10_2016;Osaka Souveniers Co.;+81 06 6342 5555;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;;Osaka;Osaka;530-0003;Japan;Japan;Kentary;Mory;Médio
10223;47,00; R$ 1.000,00 ;4;R$ 542.239,00;20/02/2004;Enviado;1;2;2004;Motocicletas;118;S10_2016;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Austrália;APAC;Ferguson;Peter;Médio
10236;22,00; R$ 1.000,00 ;1;R$ 285.208,00;03/04/2004;Enviado;2;4;2004;Motocicletas;118;S10_2016;Motor Mint Distributors Inc.;2155559857;11328 Douglas Av.;;Philadelphia;PA;71270;EUA;;Hernandez;Rosa;Pequeno
10251;44,00; R$ 1.000,00 ;5;R$ 575.652,00;18/05/2004;Enviado;2;5;2004;Motocicletas;118;S10_2016;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;;Newark;NJ;94019;EUA;;Brown;William;Médio
10263;40,00; R$ 1.000,00 ;5;R$ 44.720,00;28/06/2004;Enviado;2;6;2004;Motocicletas;118;S10_2016;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;EUA;;King;Julie;Médio
10275;22,00; R$ 1.000,00 ;4;R$ 290.444,00;23/07/2004;Enviado;3;7;2004;Motocicletas;118;S10_2016;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;França;EMEA;Labrune;Janine;Pequeno
10285;47,00; R$ 1.000,00 ;9;R$ 648.459,00;27/08/2004;Enviado;3;8;2004;Motocicletas;118;S10_2016;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;EUA;;Hernandez;Marta;Médio
10298;39,00; R$ 9.634,00 ;1;R$ 375.726,00;27/09/2004;Enviado;3;9;2004;Motocicletas;118;S10_2016;Atelier graphique;40.32.2555;54, rue Royale;;Nantes;;44000;França;EMEA;Schmitt;Carine;Médio
10308;34,00; R$ 1.000,00 ;2;R$ 404.396,00;15/10/2004;Enviado;4;10;2004;Motocicletas;118;S10_2016;Mini Classics;9145554562;3758 North Pendale Street;;White Plains;NY;24067;EUA;;Frick;Steve;Médio
10318;45,00; R$ 1.000,00 ;4;R$ 55.665,00;02/11/2004;Enviado;4;11;2004;Motocicletas;118;S10_2016;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;EUA;;Yu;Kyung;Médio
10329;20,00; R$ 1.000,00 ;2;R$ 31.760,00;15/11/2004;Enviado;4;11;2004;Motocicletas;118;S10_2016;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;EUA;;Yu;Kwai;Médio
10339;40,00; R$ 6.892,00 ;4;R$ 27.568,00;23/11/2004;Enviado;4;11;2004;Motocicletas;118;S10_2016;Tokyo Collectables, Ltd;+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;106-0032;Japan;Japan;Shimamura;Akiko;Pequeno
10361;26,00; R$ 5.115,00 ;8;R$ 13.299,00;17/12/2004;Enviado;4;12;2004;Motocicletas;118;S10_2016;Souveniers And Things Co.;+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;2067;Austrália;APAC;Huxley;Adrian;Pequeno
10374;39,00; R$ 1.000,00 ;5;R$ 528.801,00;02/02/2005;Enviado;1;2;2005;Motocicletas;118;S10_2016;Australian Gift Network, Co;61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;4101;Austrália;APAC;Calaghan;Tony;Médio
10388;50,00; R$ 4.451,00 ;5;R$ 22.255,00;03/03/2005;Enviado;1;3;2005;Motocicletas;118;S10_2016;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;EUA;;Benitez;Violeta;Pequeno
10402;45,00; R$ 1.000,00 ;1;R$ 58.338,00;07/04/2005;Enviado;2;4;2005;Motocicletas;118;S10_2016;Auto Canal Petit;(1) 47.55.6555;25, rue Lauriston;;Paris;;75016;França;EMEA;Perrier;Dominique;Médio
10417;45,00; R$ 1.000,00 ;5;R$ 588.735,00;13/05/2005;Disputed;2;5;2005;Motocicletas;118;S10_2016;Euro Shopping Channel;(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;28034;Spain;EMEA;Freyre;Diego;Médio
10107;27,00; R$ 1.000,00 ;4;R$ 606.555,00;24/02/2003;Enviado;1;2;2003;Motocicletas;193;S10_4698;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;EUA;;Yu;Kwai;Médio
10120;46,00; R$ 1.000,00 ;2;R$ 926.486,00;29/04/2003;Enviado;2;4;2003;Motocicletas;193;S10_4698;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Austrália;APAC;Ferguson;Peter;Grande
10134;31,00; R$ 1.000,00 ;4;R$ 702.398,00;01/07/2003;Enviado;3;7;2003;Motocicletas;193;S10_4698;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;França;EMEA;Da Cunha;Daniel;Grande
10145;33,00; R$ 1.000,00 ;8;R$ 517.638,00;25/08/2003;Enviado;3;8;2003;Motocicletas;193;S10_4698;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;EUA;;Young;Julie;Médio
10159;22,00; R$ 1.000,00 ;16;R$ 41.327,00;10/10/2003;Enviado;4;10;2003;Motocicletas;193;S10_4698;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;EUA;;Brown;Julie;Médio
10168;20,00; R$ 1.000,00 ;3;R$ 41.830,00;28/10/2003;Enviado;4;10;2003;Motocicletas;193;S10_4698;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;EUA;;Hirano;Juri;Médio
10180;41,00; R$ 1.000,00 ;11;R$ 88.929,00;11/11/2003;Enviado;4;11;2003;Motocicletas;193;S10_4698;Daedalus Designs Imports;20.16.1555;184, chausse de Tournai;;Lille;;59000;França;EMEA;Rance;Martine;Grande
10188;45,00; R$ 1.000,00 ;3;R$ 87.147,00;18/11/2003;Enviado;4;11;2003;Motocicletas;193;S10_4698;Herkku Gifts;+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;N 5804;Norway;EMEA;Oeztan;Veysel;Grande
10201;49,00; R$ 1.000,00 ;4;R$ 806.589,00;01/12/2003;Enviado;4;12;2003;Motocicletas;193;S10_4698;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;EUA;;Murphy;Julie;Grande
10210;34,00; R$ 1.000,00 ;1;R$ 61.234,00;12/01/2004;Enviado;1;1;2004;Motocicletas;193;S10_4698;Osaka Souveniers Co.;+81 06 6342 5555;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;;Osaka;Osaka;530-0003;Japan;Japan;Kentary;Mory;Médio
10223;49,00; R$ 1.000,00 ;3;R$ 977.403,00;20/02/2004;Enviado;1;2;2004;Motocicletas;193;S10_4698;Australian Collectors, Co.;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;Austrália;APAC;Ferguson;Peter;Grande
10237;39,00; R$ 1.000,00 ;9;R$ 70.239,00;05/04/2004;Enviado;2;4;2004;Motocicletas;193;S10_4698;Vitachrome Inc.;2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;10022;EUA;;Frick;Michael;Grande
10251;43,00; R$ 1.000,00 ;4;R$ 707.823,00;18/05/2004;Enviado;2;5;2004;Motocicletas;193;S10_4698;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;;Newark;NJ;94019;EUA;;Brown;William;Grande
10263;41,00; R$ 1.000,00 ;4;R$ 833.694,00;28/06/2004;Enviado;2;6;2004;Motocicletas;193;S10_4698;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;EUA;;King;Julie;Grande
10275;36,00; R$ 1.000,00 ;3;R$ 690.192,00;23/07/2004;Enviado;3;7;2004;Motocicletas;193;S10_4698;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;França;EMEA;Labrune;Janine;Médio
10285;27,00; R$ 1.000,00 ;8;R$ 543.807,00;27/08/2004;Enviado;3;8;2004;Motocicletas;193;S10_4698;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;EUA;;Hernandez;Marta;Médio
10299;29,00; R$ 1.000,00 ;11;R$ 668.334,00;30/09/2004;Enviado;3;9;2004;Motocicletas;193;S10_4698;Toys of Finland, Co.;90-224 8555;Keskuskatu 45;;Helsinki;;21240;Finland;EMEA;Karttunen;Matti;Médio
10308;20,00; R$ 1.000,00 ;1;R$ 45.704,00;15/10/2004;Enviado;4;10;2004;Motocicletas;193;S10_4698;Mini Classics;9145554562;3758 North Pendale Street;;White Plains;NY;24067;EUA;;Frick;Steve;Médio
10318;37,00; R$ 1.000,00 ;3;R$ 766.714,00;02/11/2004;Enviado;4;11;2004;Motocicletas;193;S10_4698;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;EUA;;Yu;Kyung;Grande
10329;26,00; R$ 1.000,00 ;3;R$ 58.682,00;15/11/2004;Enviado;4;11;2004;Motocicletas;193;S10_4698;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;EUA;;Yu;Kwai;Médio
10339;39,00; R$ 7.667,00 ;3;R$ 299.013,00;23/11/2004;Enviado;4;11;2004;Motocicletas;193;S10_4698;Tokyo Collectables, Ltd;+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;106-0032;Japan;Japan;Shimamura;Akiko;Pequeno
10362;22,00; R$ 1.000,00 ;4;R$ 36.641,00;05/01/2005;Enviado;1;1;2005;Motocicletas;193;S10_4698;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;EUA;;Hirano;Juri;Médio
10374;22,00; R$ 1.000,00 ;1;R$ 383.438,00;02/02/2005;Enviado;1;2;2005;Motocicletas;193;S10_4698;Australian Gift Network, Co;61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;4101;Austrália;APAC;Calaghan;Tony;Médio
10388;21,00; R$ 8.677,00 ;7;R$ 182.217,00;03/03/2005;Enviado;1;3;2005;Motocicletas;193;S10_4698;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;EUA;;Benitez;Violeta;Pequeno
10403;66,00; R$ 1.000,00 ;9;R$ 118.866,00;08/04/2005;Enviado;2;4;2005;Motocicletas;193;S10_4698;UK Collectables, Ltd.;(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;WX1 6LT;Reino Unido;EMEA;Devon;Elizabeth;Grande
